epoch,horizon_1h_auc,horizon_1h_loss,horizon_24h_auc,horizon_24h_loss,horizon_6h_auc,horizon_6h_loss,learning_rate,loss,val_horizon_1h_auc,val_horizon_1h_loss,val_horizon_24h_auc,val_horizon_24h_loss,val_horizon_6h_auc,val_horizon_6h_loss,val_loss
0,0.0,1.4165935516357422,0.5845584869384766,0.720016360282898,0.0,0.6630582809448242,0.0003000000142492354,2.8204867839813232,0.4161111116409302,2.096956491470337,0.5618518590927124,0.7270211577415466,0.3029629588127136,0.8011294603347778,4.303345680236816
1,0.0,0.8266246318817139,0.5223896503448486,0.7621155381202698,0.0,0.5614984631538391,0.0003000000142492354,2.156444549560547,0.4516666829586029,1.0549694299697876,0.5859259366989136,0.6307097673416138,0.3122222125530243,0.7303062677383423,2.7311506271362305
2,0.0,0.3812493085861206,0.5398117303848267,0.7656800150871277,0.0,0.37388086318969727,0.0003000000142492354,1.532243251800537,0.48092588782310486,0.6807386875152588,0.6138888597488403,0.6086481213569641,0.3153703808784485,0.8143042325973511,2.1934196949005127
3,0.0,0.1515548974275589,0.5579675436019897,0.8124109506607056,0.0,0.20435214042663574,0.0003000000142492354,1.172609567642212,0.4068518280982971,1.1105561256408691,0.6594444513320923,0.5972900986671448,0.23370368778705597,1.1578559875488281,2.706618309020996
4,0.0,0.08951366692781448,0.5900519490242004,0.7829429507255554,0.0,0.10054249316453934,0.0003000000142492354,0.9769918322563171,0.44777774810791016,1.6174591779708862,0.701296329498291,0.5849944353103638,0.277222216129303,1.5115225315093994,3.3781418800354004
5,0.0,0.07975803315639496,0.6056298613548279,0.7811684608459473,0.0,0.0694786086678505,0.0003000000142492354,0.9260936975479126,0.5327777862548828,1.8962186574935913,0.7259259223937988,0.5778231620788574,0.2562962770462036,1.640059232711792,3.7156779766082764
6,0.0,0.06556161493062973,0.7072077989578247,0.6617553234100342,0.0,0.06373336166143417,0.0003000000142492354,0.7860319018363953,0.6053704023361206,2.1466946601867676,0.8298148512840271,0.5454288721084595,0.24888888001441956,1.844682216644287,4.075539588928223
7,0.0,0.05233679711818695,0.7526558637619019,0.605159342288971,0.0,0.06182178482413292,0.0003000000142492354,0.7271875143051147,0.5859259366989136,2.335826873779297,0.979629635810852,0.4745270013809204,0.24314814805984497,2.0485117435455322,4.344274997711182
8,0.0,0.05363539233803749,0.8289285898208618,0.5049330592155457,0.0,0.04362022504210472,0.0003000000142492354,0.6086081862449646,0.6557407379150391,2.481823444366455,0.9974073767662048,0.36115118861198425,0.3875925540924072,2.187673568725586,4.48192024230957
9,0.0,0.04808064550161362,0.8812792301177979,0.42672842741012573,0.0,0.04933244735002518,0.0003000000142492354,0.522041916847229,0.7561111450195312,2.745236396789551,0.9990741014480591,0.24813084304332733,0.6546295881271362,2.427407741546631,4.807381629943848
10,0.0,0.04273803532123566,0.9287596940994263,0.33201324939727783,0.0,0.0450240783393383,0.0001500000071246177,0.4270487427711487,0.8229629993438721,2.8955416679382324,0.9988889098167419,0.20737063884735107,0.777222216129303,2.5753860473632812,5.034135341644287
11,0.0,0.0440676175057888,0.933655858039856,0.31671372056007385,0.0,0.03949526324868202,0.0001500000071246177,0.40809571743011475,0.699999988079071,3.091719388961792,0.9996296167373657,0.19373664259910583,0.8537036776542664,2.7677102088928223,5.367403030395508
