epoch,horizon_1h_auc,horizon_1h_loss,horizon_24h_auc,horizon_24h_loss,horizon_6h_auc,horizon_6h_loss,learning_rate,loss,val_horizon_1h_auc,val_horizon_1h_loss,val_horizon_24h_auc,val_horizon_24h_loss,val_horizon_6h_auc,val_horizon_6h_loss,val_loss
12,0.0,0.03797866404056549,0.9359221458435059,0.3165668845176697,0.0,0.04012802615761757,0.0001500000071246177,0.39934492111206055,0.9231482148170471,3.165705680847168,1.0,0.1599067598581314,0.8001852035522461,2.928408622741699,5.552286624908447
13,0.0,0.04352801293134689,0.9555194973945618,0.27527090907096863,0.0,0.040826424956321716,0.0001500000071246177,0.3568309247493744,0.8722221851348877,3.3201892375946045,0.9948148131370544,0.15916627645492554,0.8498148918151855,3.1463866233825684,5.898258686065674
14,0.0,0.033373259007930756,0.9690130352973938,0.21386800706386566,0.0,0.03295733034610748,0.0001500000071246177,0.28756287693977356,0.5916666984558105,3.590987205505371,0.9933333396911621,0.17762546241283417,0.769444465637207,3.378192901611328,6.370197772979736
15,0.0,0.023641470819711685,0.9508116841316223,0.2867473363876343,0.0,0.029522836208343506,0.0001500000071246177,0.33984798192977905,0.5583333373069763,3.627110481262207,0.9901852011680603,0.19695714116096497,0.5944444537162781,3.4897031784057617,6.539243698120117
16,0.0,0.02928614243865013,0.9570130109786987,0.2670552730560303,0.0,0.0291123166680336,0.0001500000071246177,0.32420602440834045,0.5,3.7774627208709717,0.9890741109848022,0.2410353124141693,0.5249999761581421,3.681347370147705,6.898451328277588
17,0.0,0.022029846906661987,0.9680389165878296,0.2315600961446762,0.0,0.023478370159864426,7.500000356230885e-05,0.28201520442962646,0.5,3.779977321624756,0.9824074506759644,0.21244339644908905,0.4972222149372101,3.7157912254333496,6.903393745422363
18,0.0,0.028386376798152924,0.9814869165420532,0.16526883840560913,0.0,0.02520720474421978,7.500000356230885e-05,0.22128689289093018,0.5,3.9528980255126953,0.9827777743339539,0.20724794268608093,0.5,3.8749752044677734,7.190098285675049
19,0.0,0.03267581760883331,0.9667792320251465,0.25125035643577576,0.0,0.030397024005651474,7.500000356230885e-05,0.3036152422428131,0.5,4.133129596710205,0.9729629755020142,0.18938472867012024,0.5,4.026459217071533,7.447061538696289
20,0.0,0.018419116735458374,0.9751493334770203,0.19347335398197174,0.0,0.031912047415971756,7.500000356230885e-05,0.2504208981990814,0.5,4.177737712860107,0.970740795135498,0.20491521060466766,0.5,4.089545249938965,7.566422462463379
21,0.0,0.01786908693611622,0.9824219942092896,0.18625445663928986,0.0,0.026865193620324135,7.500000356230885e-05,0.21477872133255005,0.5,4.283699989318848,0.9677777290344238,0.21232478320598602,0.5,4.212965488433838,7.780820846557617
22,0.0,0.022371483966708183,0.9775325059890747,0.19343289732933044,0.0,0.01911799982190132,7.500000356230885e-05,0.23951001465320587,0.5,4.415532112121582,0.9766666293144226,0.20264355838298798,0.5,4.328791618347168,7.987148761749268
