epoch,horizon_1h_auc,horizon_1h_loss,horizon_24h_auc,horizon_24h_loss,horizon_6h_auc,horizon_6h_loss,learning_rate,loss,tier_output_accuracy,tier_output_loss,val_horizon_1h_auc,val_horizon_1h_loss,val_horizon_24h_auc,val_horizon_24h_loss,val_horizon_6h_auc,val_horizon_6h_loss,val_loss,val_tier_output_accuracy,val_tier_output_loss
0,0.0,0.4526645839214325,0.6000000238418579,0.8441598415374756,0.0,0.5782725214958191,0.0003000000142492354,2.2104196548461914,0.29729729890823364,1.1076120138168335,0.5740740895271301,1.5517687797546387,0.5337036848068237,2.485457181930542,0.24611110985279083,0.9117302298545837,4.687315464019775,0.0,1.1118375062942505
1,0.0,0.29508817195892334,0.6272597312927246,0.7662936449050903,0.0,0.34377598762512207,0.0003000000142492354,1.7397007942199707,0.4864864945411682,1.0752663612365723,0.5620370507240295,1.4544732570648193,0.5303703546524048,1.4375098943710327,0.43166664242744446,1.2263973951339722,3.9555110931396484,0.0,1.1296254396438599
2,0.0,0.12941141426563263,0.6012597680091858,0.7281684279441833,0.0,0.1525256633758545,0.0003000000142492354,1.3348873853683472,0.5189189314842224,1.0527375936508179,0.5925925970077515,1.5645222663879395,0.5518518686294556,0.92914879322052,0.5950000286102295,1.3714137077331543,3.743046760559082,0.0,1.16342294216156
3,0.0,0.037808746099472046,0.6323766708374023,0.724785327911377,0.0,0.05767575278878212,0.0003000000142492354,1.1253938674926758,0.5045045018196106,1.0378880500793457,0.8711110949516296,1.843508005142212,0.6551852226257324,0.711412787437439,0.8372222185134888,1.5249476432800293,3.988507032394409,0.0,1.1980416774749756
4,0.0,0.018184326589107513,0.7260844707489014,0.6211979985237122,0.0,0.028121309354901314,0.0003000000142492354,0.9785226583480835,0.5081080794334412,1.0217713117599487,0.9105556011199951,2.1134276390075684,0.8366666436195374,0.5906245708465576,0.877036988735199,1.7849152088165283,4.385421276092529,0.0,1.223435878753662
5,0.0,0.02083525061607361,0.8247532844543457,0.5139560699462891,0.0,0.02210724726319313,0.0003000000142492354,0.8567635416984558,0.5099099278450012,1.002538800239563,0.9507406949996948,2.4144246578216553,0.938703715801239,0.47359931468963623,0.9179629683494568,2.1350879669189453,4.878601551055908,0.0,1.2414100170135498
6,0.0,0.01286589540541172,0.8778896331787109,0.4358767569065094,0.0,0.018028421327471733,0.0003000000142492354,0.7604748010635376,0.5081080794334412,0.987250030040741,0.9735185503959656,2.7584280967712402,0.9892592430114746,0.3239508271217346,0.9364815354347229,2.483008623123169,5.37480354309082,0.0,1.2692198753356934
7,0.0,0.011230068281292915,0.9048571586608887,0.3728688359260559,0.0,0.011885013431310654,0.0003000000142492354,0.6920486688613892,0.5495495200157166,0.9648963212966919,0.9629629850387573,2.896237850189209,1.0,0.22735407948493958,0.967962920665741,2.6422832012176514,5.560312271118164,0.0,1.2912079095840454
8,0.0,0.00930129736661911,0.9342207312583923,0.30081382393836975,0.0,0.014166012406349182,0.0003000000142492354,0.6149913668632507,0.6468468308448792,0.9433594942092896,0.971666693687439,3.08651065826416,0.9992592334747314,0.1535598635673523,0.9662963151931763,2.8486108779907227,5.8465256690979,0.0,1.3138587474822998
9,0.0,0.013131912797689438,0.9380000233650208,0.28606873750686646,0.0,0.02023155614733696,0.0003000000142492354,0.5949881672859192,0.7711711525917053,0.9257140755653381,0.675000011920929,3.436394214630127,0.9996296167373657,0.09510068595409393,0.9333333373069763,3.2025558948516846,6.407228946685791,0.20952381193637848,1.31889808177948
10,0.0,0.010365752503275871,0.9592662453651428,0.24086035788059235,0.0,0.013194319792091846,0.0001500000071246177,0.542195737361908,0.8360360264778137,0.9152565002441406,0.5,3.6871752738952637,0.9981482028961182,0.09805770218372345,0.6416666507720947,3.4710614681243896,6.8827033042907715,0.3142857253551483,1.322056531906128
11,0.0,0.005901160649955273,0.9672530889511108,0.22036752104759216,0.0,0.009337379597127438,0.0001500000071246177,0.5045201182365417,0.8468468189239502,0.9034368991851807,0.5,3.913757562637329,0.9987037181854248,0.12740319967269897,0.5166666507720947,3.704989433288574,7.3342204093933105,0.34285715222358704,1.3217370510101318
12,0.0,0.008036592043936253,0.9652078151702881,0.22212451696395874,0.0,0.009555468335747719,0.0001500000071246177,0.5144960284233093,0.8468468189239502,0.894128143787384,0.5,4.111662864685059,0.9972221851348877,0.12911860644817352,0.5,3.9107775688171387,7.697844505310059,0.37142857909202576,1.3294892311096191
13,0.0,0.004843644332140684,0.9716362953186035,0.20196287333965302,0.0,0.007250087335705757,0.0001500000071246177,0.480604887008667,0.8594594597816467,0.8890019655227661,0.5,4.35623025894165,0.9979629516601562,0.13739213347434998,0.5,4.1612548828125,8.148118019104004,0.41904762387275696,1.3371808528900146
14,0.0,0.0039195287972688675,0.9743571281433105,0.1952124983072281,0.0,0.011129556223750114,0.0001500000071246177,0.47590190172195435,0.8756756782531738,0.882221519947052,0.5,4.523743152618408,0.9981481432914734,0.1506747454404831,0.5,4.341440200805664,8.472675323486328,0.41904762387275696,1.3442697525024414
15,0.0,0.006853025872260332,0.9705454707145691,0.2132454812526703,0.0,0.008451458066701889,0.0001500000071246177,0.4874747693538666,0.8882882595062256,0.8834572434425354,0.5,4.660019874572754,0.9979629516601562,0.14903122186660767,0.5,4.4841790199279785,8.713358879089355,0.4285714328289032,1.352140188217163
16,0.0,0.005382044706493616,0.9745388627052307,0.19847416877746582,0.0,0.0077263661660254,0.0001500000071246177,0.46804001927375793,0.8864864706993103,0.870934784412384,0.5,4.835824966430664,0.9979629516601562,0.15881548821926117,0.5,4.648537635803223,9.022019386291504,0.41904762387275696,1.3588228225708008
17,0.0,0.0036347066052258015,0.9751882553100586,0.19052273035049438,0.0,0.0086965411901474,7.500000356230885e-05,0.46238842606544495,0.8900901079177856,0.8668323159217834,0.5,4.908425331115723,0.9974074363708496,0.168740376830101,0.5,4.718494415283203,9.159343719482422,0.41904762387275696,1.361316204071045
18,0.0,0.0033955350518226624,0.9736493825912476,0.1982906609773636,0.0,0.007969154044985771,7.500000356230885e-05,0.46773165464401245,0.8882882595062256,0.863512396812439,0.5,5.016426086425781,0.9996296167373657,0.18242591619491577,0.5,4.823062419891357,9.36949348449707,0.4285714328289032,1.3622634410858154
19,0.0,0.005352281033992767,0.979084312915802,0.18939359486103058,0.0,0.008193371817469597,7.500000356230885e-05,0.44839000701904297,0.8990991115570068,0.8596351146697998,0.5,5.105531692504883,0.9994444251060486,0.2066190242767334,0.5,4.906628608703613,9.552885055541992,0.4285714328289032,1.3615840673446655
20,0.0,0.004002060275524855,0.977545440196991,0.17876063287258148,0.0,0.006834908854216337,7.500000356230885e-05,0.4511185884475708,0.8936936855316162,0.8525051474571228,0.5,5.200088024139404,0.9994444251060486,0.19819045066833496,0.5,4.997910976409912,9.703864097595215,0.4285714328289032,1.3673646450042725
21,0.0,0.0035750840324908495,0.9778895378112793,0.18262332677841187,0.0,0.006571736186742783,7.500000356230885e-05,0.4476924538612366,0.8900901079177856,0.8508971333503723,0.5,5.278131484985352,0.9990741014480591,0.2033722847700119,0.5,5.070113182067871,9.84386157989502,0.4285714328289032,1.3708951473236084
22,0.0,0.003939716145396233,0.9819805026054382,0.16906782984733582,0.0,0.008305853232741356,7.500000356230885e-05,0.42997705936431885,0.8918918967247009,0.8482635021209717,0.5,5.364197254180908,0.9916666746139526,0.21301333606243134,0.5,5.14954948425293,10.003233909606934,0.4285714328289032,1.3740317821502686
