epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.4896174967288971,0.5237623453140259,0.84105384349823,0.0003,0.5649717450141907,0.20408163964748383,0.5523809790611267,0.6003703474998474,0.732292890548706,0.5783132314682007,0.800000011920929
1,0.6065573692321777,0.6963624954223633,0.6934544444084167,0.0003,0.7321428656578064,0.4183673560619354,0.6761904954910278,0.6772222518920898,0.6728613972663879,0.6857143044471741,0.800000011920929
2,0.7617486119270325,0.8473661541938782,0.5220109820365906,0.0003,0.8383084535598755,0.6877551078796387,0.761904776096344,0.7709258794784546,0.6372815370559692,0.7868852615356445,0.800000011920929
3,0.8382513523101807,0.9351308345794678,0.3872530460357666,0.0003,0.9052132964134216,0.7795918583869934,0.5714285969734192,0.8318518400192261,0.6242005825042725,0.7586206793785095,0.36666667461395264
4,0.9136611819267273,0.9780240058898926,0.24123090505599976,0.0003,0.949671745300293,0.8857142925262451,0.5047619342803955,0.9151852130889893,0.6959955096244812,1.0,0.13333334028720856
5,0.9300546646118164,0.9875918626785278,0.18029622733592987,0.0003,0.9797297120094299,0.8877550959587097,0.5047619342803955,0.8679629564285278,0.7976307272911072,1.0,0.13333334028720856
6,0.9748634099960327,0.9969893097877502,0.10942645370960236,0.0003,0.9915789365768433,0.9612244963645935,0.5047619342803955,0.9179629683494568,1.137390375137329,1.0,0.13333334028720856
7,0.971584677696228,0.9967131018638611,0.08292025327682495,0.0003,0.9853556752204895,0.9612244963645935,0.5047619342803955,0.9068518877029419,1.5032470226287842,1.0,0.13333334028720856
8,0.9836065769195557,0.9942737817764282,0.07879745215177536,0.0003,0.9937629699707031,0.9755101799964905,0.4285714328289032,0.8751851916313171,2.0028493404388428,0.0,0.0
9,0.985792338848114,0.9984562397003174,0.0556754395365715,0.0003,0.9897330403327942,0.9836734533309937,0.5428571701049805,0.927407443523407,1.6051371097564697,1.0,0.20000000298023224
10,0.9890710115432739,0.9998727440834045,0.034831415861845016,0.0003,0.9958677887916565,0.9836734533309937,0.46666666865348816,0.9161110520362854,2.301769256591797,1.0,0.06666667014360428
11,0.9901639223098755,0.9984562397003174,0.044655103236436844,0.00015,0.9938398599624634,0.9877551198005676,0.5809524059295654,0.9266667366027832,1.6727571487426758,1.0,0.2666666805744171
12,0.9956284165382385,0.9998367428779602,0.025598660111427307,0.00015,0.9959183931350708,0.9959183931350708,0.800000011920929,0.9485185742378235,1.038223147392273,1.0,0.6499999761581421
13,0.9901639223098755,0.9991140961647034,0.03216352313756943,0.00015,0.9958763122558594,0.9857142567634583,0.800000011920929,0.9548148512840271,0.7110569477081299,1.0,0.6499999761581421
14,0.9956284165382385,0.9999544620513916,0.01962216943502426,0.00015,1.0,0.9918367266654968,0.761904776096344,0.9203703999519348,1.0944055318832397,1.0,0.5833333134651184
15,0.9923497438430786,0.999786376953125,0.02198222652077675,0.00015,0.9958932399749756,0.9897959232330322,0.761904776096344,0.9559259414672852,0.8467912673950195,1.0,0.5833333134651184
16,0.9901639223098755,0.9969316124916077,0.03969714418053627,0.00015,0.9918200373649597,0.9897959232330322,0.8380952477455139,0.9564815163612366,0.646424412727356,1.0,0.7166666388511658
17,0.9978141784667969,0.9999711513519287,0.014863443560898304,0.00015,0.9979591965675354,0.9979591965675354,0.9523809552192688,0.9574074149131775,0.3066321313381195,1.0,0.9166666865348816
18,0.9989070892333984,0.999947190284729,0.015196319669485092,0.00015,1.0,0.9979591965675354,0.9523809552192688,0.9574074149131775,0.31457290053367615,1.0,0.9166666865348816
19,1.0,1.0,0.010990512557327747,0.00015,1.0,1.0,0.9523809552192688,0.9583333730697632,0.321487694978714,1.0,0.9166666865348816
20,0.9989070892333984,1.0,0.011908418498933315,0.00015,1.0,0.9979591965675354,0.9523809552192688,0.9583333730697632,0.32976147532463074,1.0,0.9166666865348816
21,1.0,0.9999999403953552,0.008109143003821373,0.00015,1.0,1.0,0.9523809552192688,0.9583333730697632,0.340691477060318,1.0,0.9166666865348816
22,0.9989070892333984,0.9999808073043823,0.01136230118572712,0.00015,0.9979633688926697,1.0,0.9523809552192688,0.9583333730697632,0.3565252423286438,1.0,0.9166666865348816
23,0.9989070892333984,0.9999975562095642,0.009715082123875618,0.00015,1.0,0.9979591965675354,0.9523809552192688,0.9583333730697632,0.3615826666355133,1.0,0.9166666865348816
24,0.9989070892333984,1.0,0.007724478840827942,0.00015,0.9979633688926697,1.0,0.9523809552192688,0.9583333730697632,0.37040746212005615,1.0,0.9166666865348816
25,1.0,1.0,0.004491863306611776,7.5e-05,1.0,1.0,0.9523809552192688,0.9583333730697632,0.3745883107185364,1.0,0.9166666865348816
26,0.9956284165382385,0.9999663829803467,0.009136120788753033,7.5e-05,0.9959183931350708,0.9959183931350708,0.9523809552192688,0.9583333730697632,0.38116616010665894,1.0,0.9166666865348816
27,0.9978141784667969,0.999995231628418,0.00603761151432991,7.5e-05,0.9979591965675354,0.9979591965675354,0.9523809552192688,0.9583333730697632,0.38721194863319397,1.0,0.9166666865348816
28,0.9989070892333984,0.9999904036521912,0.006554206367582083,7.5e-05,1.0,0.9979591965675354,0.9523809552192688,0.9583333730697632,0.3916677236557007,1.0,0.9166666865348816
29,0.9989070892333984,1.0,0.004545063711702824,7.5e-05,1.0,0.9979591965675354,0.9523809552192688,0.9583333730697632,0.39533349871635437,1.0,0.9166666865348816
