epoch,learning_rate,loss,risk_output_auc,risk_output_loss,severity_output_accuracy,severity_output_loss,val_loss,val_risk_output_auc,val_risk_output_loss,val_severity_output_accuracy,val_severity_output_loss
0,0.0003000000142492354,1.4836329221725464,0.4843961000442505,0.7727277874946594,0.3513513505458832,1.4155545234680176,2.345897912979126,0.2020370215177536,1.9736957550048828,0.5714285969734192,1.115463376045227
1,0.0003000000142492354,1.3308308124542236,0.5955909490585327,0.7029629349708557,0.45765766501426697,1.2512205839157104,1.678905725479126,0.2888888716697693,1.3081647157669067,0.6000000238418579,0.9694791436195374
2,0.0003000000142492354,1.2098205089569092,0.709142804145813,0.6330058574676514,0.5135135054588318,1.1574581861495972,1.4189265966415405,0.4725925922393799,1.034909725189209,0.6000000238418579,0.914826512336731
3,0.0003000000142492354,1.0283172130584717,0.8213701248168945,0.5536906719207764,0.6468468308448792,0.9441735744476318,1.2847814559936523,0.6146296262741089,0.9277888536453247,0.6571428775787354,0.8281961679458618
4,0.0003000000142492354,0.8079575300216675,0.9127727150917053,0.4266957938671112,0.73153156042099,0.7513545155525208,1.216631531715393,0.7792592644691467,0.9327053427696228,0.8095238208770752,0.7503645420074463
5,0.0003000000142492354,0.5739284753799438,0.9429155588150024,0.31042352318763733,0.816216230392456,0.5107008814811707,1.1342964172363281,0.9199999570846558,0.9250118136405945,0.6476190686225891,0.7115048170089722
6,0.0003000000142492354,0.43946442008018494,0.9670908451080322,0.2277422696352005,0.8396396636962891,0.4296267032623291,1.20927894115448,0.9587037563323975,0.9704945087432861,0.5904762148857117,0.9059232473373413
7,0.0003000000142492354,0.38047561049461365,0.9702727198600769,0.2160668671131134,0.8558558821678162,0.3498307764530182,1.8743782043457031,0.9272222518920898,1.4133870601654053,0.5904762148857117,1.6557148694992065
8,0.0003000000142492354,0.3231958746910095,0.9790973663330078,0.17365890741348267,0.8702702522277832,0.29863646626472473,1.6462055444717407,0.9594444036483765,1.1878490447998047,0.6190476417541504,1.4831112623214722
9,0.0003000000142492354,0.3290310800075531,0.9747986793518066,0.18854044377803802,0.8738738894462585,0.29176080226898193,1.125430703163147,0.9759259819984436,0.9010975360870361,0.8285714387893677,1.1635913848876953
10,0.0003000000142492354,0.31142011284828186,0.9779220223426819,0.1688050627708435,0.8810811042785645,0.2777509391307831,1.052083134651184,0.9590741395950317,0.6830006241798401,0.8666666746139526,0.948663592338562
11,0.0003000000142492354,0.30002138018608093,0.9793766736984253,0.15972746908664703,0.8810811042785645,0.26678207516670227,1.5349013805389404,0.916111171245575,1.1196448802947998,0.8285714387893677,1.6319854259490967
12,0.0003000000142492354,0.29338064789772034,0.9792143106460571,0.16102191805839539,0.8918918967247009,0.2721829116344452,0.9855475425720215,0.9449999928474426,0.4801803231239319,0.8857142925262451,0.7190369367599487
