epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5641666650772095,0.5958204865455627,0.0003000000142492354,0.6949220299720764,0.550684928894043,0.6733668446540833,0.5074999928474426,0.7764276266098022,0.7854747772216797,0.6666666865348816,0.010101010091602802
1,0.6558333039283752,0.7145887017250061,0.0003000000142492354,0.6196785569190979,0.6488673090934753,0.6716917753219604,0.7300000190734863,0.811731219291687,0.5867856740951538,0.875,0.5303030014038086
2,0.6924999952316284,0.7664052248001099,0.0003000000142492354,0.5759795904159546,0.7028470039367676,0.661641538143158,0.762499988079071,0.8335708379745483,0.5395546555519104,0.7512195110321045,0.7777777910232544
3,0.7266666889190674,0.8116661310195923,0.0003000000142492354,0.5282344818115234,0.7307032346725464,0.713567852973938,0.7825000286102295,0.8621612191200256,0.5190712213516235,0.7444933652877808,0.8535353541374207
4,0.7724999785423279,0.8550533056259155,0.0003000000142492354,0.4796997010707855,0.7793103456497192,0.7571189403533936,0.8050000071525574,0.8927392959594727,0.4595113694667816,0.7631579041481018,0.8787878751754761
5,0.8391666412353516,0.911692202091217,0.0003000000142492354,0.3864593505859375,0.8447098731994629,0.8291457295417786,0.824999988079071,0.9115161895751953,0.4035896956920624,0.7935779690742493,0.8737373948097229
6,0.8650000095367432,0.9422444105148315,0.0003000000142492354,0.3096230924129486,0.861896812915802,0.8676716685295105,0.8149999976158142,0.9205670356750488,0.378959059715271,0.8522727489471436,0.7575757503509521
7,0.8858333230018616,0.9514613151550293,0.0003000000142492354,0.282882958650589,0.8782894611358643,0.8944723606109619,0.8299999833106995,0.9368062019348145,0.3592027723789215,0.891566276550293,0.747474730014801
8,0.8999999761581421,0.9612393379211426,0.0003000000142492354,0.2516666650772095,0.8968386054039001,0.9028475880622864,0.8675000071525574,0.9521452188491821,0.3129883110523224,0.9050279259681702,0.8181818127632141
9,0.9358333349227905,0.9798036813735962,0.0003000000142492354,0.18505172431468964,0.9347826242446899,0.9363484382629395,0.8949999809265137,0.9729472994804382,0.2302316129207611,0.914893627166748,0.868686854839325
10,0.9166666865348816,0.9782758355140686,0.0003000000142492354,0.18844357132911682,0.9233390092849731,0.9078726768493652,0.9024999737739563,0.9797854423522949,0.224009171128273,0.8565022349357605,0.9646464586257935
11,0.9358333349227905,0.9852690696716309,0.0003000000142492354,0.15740405023097992,0.9333333373069763,0.9380234479904175,0.7350000143051147,0.9825857877731323,0.5493600368499756,0.6523178815841675,0.9949495196342468
12,0.9449999928474426,0.9874648451805115,0.0003000000142492354,0.1423797905445099,0.9388429522514343,0.9514237642288208,0.7475000023841858,0.983323335647583,0.5845803618431091,0.6644067764282227,0.9898989796638489
13,0.9641666412353516,0.9938012361526489,0.0003000000142492354,0.10201107710599899,0.9570956826210022,0.9715242981910706,0.8475000262260437,0.9886113405227661,0.3736635148525238,0.7665369510650635,0.9949495196342468
14,0.9566666483879089,0.991585910320282,0.0003000000142492354,0.1169942244887352,0.9579831957817078,0.9547738432884216,0.8824999928474426,0.9877863526344299,0.28525444865226746,0.8132780194282532,0.9898989796638489
15,0.95333331823349,0.9921302795410156,0.0003000000142492354,0.11120198667049408,0.9561551213264465,0.9497487545013428,0.9150000214576721,0.9886863231658936,0.21868039667606354,0.8660714030265808,0.9797979593276978
16,0.9733333587646484,0.9966441988945007,0.0003000000142492354,0.07330536842346191,0.9716193675994873,0.9748743772506714,0.9175000190734863,0.9884488582611084,0.2295321226119995,0.8699551820755005,0.9797979593276978
17,0.9583333134651184,0.9923651218414307,0.0003000000142492354,0.10810180753469467,0.9550748467445374,0.9614740610122681,0.8824999928474426,0.9911616444587708,0.26655077934265137,0.8132780194282532,0.9898989796638489
18,0.9708333611488342,0.9956124424934387,0.0003000000142492354,0.08381763100624084,0.9683333039283752,0.9731993079185486,0.9574999809265137,0.9919991493225098,0.13301560282707214,0.994535505771637,0.9191918969154358
