Model,AUROC,Accuracy,Precision,Recall,F1,Threshold
v4 (raw),0.119,30.0%,43.8%,48.8%,0.462,0.05
v5-watch (inverted),0.882,82.3%,100.0%,71.2%,0.832,0.55
v6-watch (native),0.977,96.2%,98.7%,95.0%,0.968,0.11
v8-watch (patient-level),0.958,86.2%,100.0%,77.5%,0.873,0.05
