epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5333333611488342,0.5400469899177551,0.0003000000142492354,0.7675995230674744,0.5831533670425415,0.4821428656578064,0.5523809790611267,0.7055555582046509,0.7181980013847351,0.5783132314682007,0.800000011920929
1,0.6821256279945374,0.7458308339118958,0.0003000000142492354,0.6285425424575806,0.7401247620582581,0.6357142925262451,0.761904776096344,0.7325925827026367,0.6843425035476685,0.9069767594337463,0.6499999761581421
2,0.8241546154022217,0.897922933101654,0.0003000000142492354,0.4699587821960449,0.8566038012504578,0.8107143044471741,0.7904762029647827,0.8987036943435669,0.6023985147476196,1.0,0.6333333253860474
3,0.9246376752853394,0.9692969918251038,0.0003000000142492354,0.28419774770736694,0.9350180625915527,0.925000011920929,0.7428571581840515,0.8466666340827942,0.5216687321662903,0.746268630027771,0.8333333134651184
4,0.947826087474823,0.9813571572303772,0.0003000000142492354,0.19267134368419647,0.9616788029670715,0.9410714507102966,0.723809540271759,0.8955555558204651,0.5064594745635986,0.7246376872062683,0.8333333134651184
5,0.9700483083724976,0.992530107498169,0.0003000000142492354,0.11989117413759232,0.9714794754981995,0.9732142686843872,0.7904762029647827,0.9055555462837219,0.5020385980606079,0.8064516186714172,0.8333333134651184
6,0.9729468822479248,0.9948063492774963,0.0003000000142492354,0.09264461696147919,0.9750000238418579,0.9750000238418579,0.8095238208770752,0.9094444513320923,0.6094218492507935,0.7857142686843872,0.9166666865348816
7,0.9806763529777527,0.9981916546821594,0.0003000000142492354,0.06220725178718567,0.9770318269729614,0.987500011920929,0.7523809671401978,0.8837037682533264,1.005333423614502,0.7236841917037964,0.9166666865348816
8,0.9835748672485352,0.9977105855941772,0.0003000000142492354,0.0598490834236145,0.9839572310447693,0.9857142567634583,0.8380952477455139,0.92037034034729,0.5913806557655334,0.8208954930305481,0.9166666865348816
9,0.9845410585403442,0.9971766471862793,0.0003000000142492354,0.05397207662463188,0.9857142567634583,0.9857142567634583,0.8666666746139526,0.9351851940155029,0.5242716670036316,0.859375,0.9166666865348816
10,0.9874396324157715,0.9946767091751099,0.0003000000142492354,0.05586176738142967,0.9927927851676941,0.9839285612106323,0.8095238208770752,0.8185185194015503,1.1405850648880005,0.7857142686843872,0.9166666865348816
11,0.9942029118537903,0.9997143745422363,0.0003000000142492354,0.02657907083630562,0.9928825497627258,0.9964285492897034,0.9428571462631226,0.9361111521720886,0.4231862425804138,0.9821428656578064,0.9166666865348816
